eid,doi,doi_url,title,source
2-s2.0-84900857642,,,"MFREE-S Closed Cavity Façade: Cost-effective, clean, environmental",Asia Ascending Age of the Sustainable Skyscraper City A Collection of State of the Art Multi Disciplinary Papers on Tall Buildings and Sustainable Cities Proc of the Ctbuh 9th World Congress
2-s2.0-84872040764,,,A simulation and experimental study of the impact of passive and active façade systems on the energy performance of building perimeter zones,ASHRAE Transactions
2-s2.0-84900872911,,,The parametric design of Shanghai Tower's form and façade,Asia Ascending Age of the Sustainable Skyscraper City A Collection of State of the Art Multi Disciplinary Papers on Tall Buildings and Sustainable Cities Proc of the Ctbuh 9th World Congress
2-s2.0-85048345811,,,An exploration into computational optimization for motive architecture,Acadia 2012 Synthetic Digital Ecologies Proceedings of the 32nd Annual Conference of the Association for Computer Aided Design in Architecture
2-s2.0-84873864839,,,Affect: Adaptive fenestration for emission-free cladding technology,30th Ises Biennial Solar World Congress 2011 Swc 2011
2-s2.0-84860247255,,,Structural dynamic façade,Structural Membranes 2011 5th International Conference on Textile Composites and Inflatable Structures
2-s2.0-84870170502,,,Modelling and optimisation of a biomimetic façade based on animal fur,Proceedings of Building Simulation 2011 12th Conference of International Building Performance Simulation Association
2-s2.0-84864141000,,,Effect of two exterior louver systems on solar transmittance and indoor thermal conditions: Experiment and simulations,PLEA 2011 Architecture and Sustainable Development Conference Proceedings of the 27th International Conference on Passive and Low Energy Architecture
2-s2.0-84867009270,,,Automated and manual solar shading and glare control: A design framework for meeting occupant comfort and realized energy performance,40th Ases National Solar Conference 2011 Solar 2011
2-s2.0-84855426634,,,Adaptive partitioning of urban facades,Proceedings of the 2011 SIGGRAPH Asia Conference SA 11
2-s2.0-84867033340,,,Harvesting energy with solar panels and adaptive shading for building skins. A case study of an office building in Saudi Arabia,40th Ases National Solar Conference 2011 Solar 2011
2-s2.0-79959812162,,,Predictive control of radiant floor heating and transmitted irradiance in a room with high solar gains,ASHRAE Transactions
2-s2.0-84870192612,,,Inverse modelling for the assessment of energy performance: Estimation of envelope thermal characteristics,Proceedings of Building Simulation 2011 12th Conference of International Building Performance Simulation Association
2-s2.0-84863734969,,,HVAC integrated control for energy saving and comfort enhancement,Proceedings of the 28th International Symposium on Automation and Robotics in Construction Isarc 2011
2-s2.0-84864135568,,,The poetics of contemplative light in the Church of Notre-Dame-du-Haut designed by Le Corbusier,PLEA 2011 Architecture and Sustainable Development Conference Proceedings of the 27th International Conference on Passive and Low Energy Architecture
2-s2.0-79959579260,,,Evaluation of the energy performance of shading devices based on incremental costs,World Academy of Science Engineering and Technology
2-s2.0-84870586182,,,Madrid's landscape through its cornice 1. from a façade to a kinetic section,Ega Revista De Expresion Grafica Arquitectonica
2-s2.0-84870158832,,,Performance of a daylight redirecting glass shading system demonstration in an office building,Proceedings of Building Simulation 2011 12th Conference of International Building Performance Simulation Association
2-s2.0-80052989352,,,Responsive shading intelligent façade systems,Life in Formation on Responsive Information and Variations in Architecture Proceedings of the 30th Annual Conference of the Association for Computer Aided Design in Architecture Acadia 2010
2-s2.0-80053018888,,,Performative responsive architecture powered by climate,Life in Formation on Responsive Information and Variations in Architecture Proceedings of the 30th Annual Conference of the Association for Computer Aided Design in Architecture Acadia 2010
2-s2.0-84856652365,,,"A dynamic analysis of the Ruins of St. Paul's, Macau",Structures and Architecture Proceedings of the 1st International Conference on Structures and Architecture Icsa 2010
2-s2.0-84867267320,,,Dynamic solar shading and glare control for human comfort and energy efficiency at UCSD: Integrated design and simulation strategies,39th Ases National Solar Conference 2010 Solar 2010
2-s2.0-84867267682,,,Fluid filled window system for passive cooling and heating,39th Ases National Solar Conference 2010 Solar 2010
2-s2.0-79959924602,,,Robo studio: Towards architectronics? Kinetic architecture on control systems: A responsive environment,New Frontiers Proceedings of the 15th International Conference on Computer Aided Architectural Design in Asia Caadria 2010
2-s2.0-77956470232,,,Dynamic performance of cable net facade with consideration of glass panels under earthquake,Journal of Harbin Institute of Technology New Series
2-s2.0-84964724193,,,Glass works,Challenging Glass 2 Conference on Architectural and Structural Applications of Glass Cgc 2010
2-s2.0-84926522419,,,Dynamic thermally disconnected building envelopes-A new paradigm for walls and roofs in low-energy buildings,Thermal Performance of the Exterior Envelopes of Whole Buildings 11th International Conference
2-s2.0-84863970931,,,A morphology of pattern for kinetic facades,Joining Languages Cultures and Visions Caadfutures 2009 Proceedings of the 13th International Caad Futures Conference
2-s2.0-78149400279,,,Energy saving potential of double-skin façade buildings with active adaptive operation in winter,Proceedings 6th International Symposium on Heating Ventilating and Air Conditioning Ishvac 2009
2-s2.0-84895303108,,,Intelligence and energy saving in building,Energy Efficiency Research
2-s2.0-84870234199,,,Establishing a simplified correlation between a proposed double skin façade and a thermally equivalent single skin façade for dynamic building energy modelling,Ibpsa 2009 International Building Performance Simulation Association 2009
2-s2.0-84870183199,,,Integrated building energy and lighting simulation in the framework of EU PV-light project,Ibpsa 2009 International Building Performance Simulation Association 2009
2-s2.0-84866024950,,,Estimating instrument spectral envelopes for polyphonic music transcription in a music scene-adaptive approach,126th Audio Engineering Society Convention 2009
2-s2.0-66249105694,,,Achieving complete integration,Building Engineer
2-s2.0-60549112398,,,Advanced façades,Building Engineer
2-s2.0-57549110009,,,Openings in façades and adaptable dwelling space,Open House International
2-s2.0-79956341778,,,Object oriented modelling of variable envelope properties in buildings,Wseas Transactions on Systems and Control
